Employee Estimate,Employees on Professional Networks,Employee Growth (Monthly),Employee Growth (Quarterly),Employee Growth (6 months),Employee Growth (Annual),Last Funding Amount,Total Funding Amount,Total Funding Rounds,Rank,is_us,company_age,is_tech_enabled,Days Since Last Funding Date,Days Since Last Touch Date,Days Since Last Pipeline Decline Date
240.0,,,,,12.62,30000000.0,58000000.0,4.0,0.0,0.0,7.0,1,987.0,,
239.0,,,,,3.48,990000.0,62650000.0,7.0,0.0,1.0,15.0,1,1991.0,,
239.0,,,,,17.24,39000000.0,49500000.0,5.0,0.0,0.0,11.0,1,1934.0,323.0,
238.0,,,,,49.69,30000000.0,45320000.0,5.0,0.0,1.0,9.0,1,1361.0,294.0,1188.0
238.0,,,,,20.2,30000000.0,39480000.0,5.0,0.0,1.0,10.0,1,1286.0,,
238.0,,,,,17.73,45000000.0,63150000.0,3.0,0.0,1.0,14.0,1,1390.0,,
238.0,,,,,8.26,50000000.0,60020000.0,6.0,0.0,1.0,16.0,1,1391.0,323.0,
237.0,,,,,44.51,34000000.0,34000000.0,1.0,0.0,1.0,17.0,1,1573.0,,
237.0,,,,,-0.42,46000000.0,54140000.0,10.0,0.0,1.0,11.0,1,1083.0,316.0,
237.0,,,,,53.21,,,6.0,0.0,1.0,13.0,1,,,
236.0,,,,,17.41,70000000.0,99740000.0,6.0,0.0,1.0,10.0,1,1454.0,323.0,
236.0,,,,,11.85,34000000.0,34000000.0,2.0,0.0,1.0,13.0,1,2056.0,,
236.0,,,,,11.79,45000000.0,45000000.0,1.0,0.0,0.0,31.0,1,325.0,,
236.0,,,,,29.83,35000000.0,35000000.0,1.0,0.0,0.0,17.0,1,662.0,,
236.0,,,,,12.5,20000000.0,81600000.0,8.0,0.0,1.0,27.0,1,2511.0,,
235.0,,,,,21.13,50000000.0,71120000.0,4.0,0.0,1.0,11.0,1,1013.0,,
235.0,,,,,-4.84,60000000.0,81500000.0,3.0,0.0,1.0,11.0,1,1055.0,,
234.0,,,,,36.63,12000000.0,45000000.0,3.0,0.0,1.0,6.0,1,746.0,,
233.0,,,,,24.21,27200000.0,62760000.0,6.0,0.0,1.0,11.0,1,1089.0,,
233.0,,,,,-3.73,890000.0,64390000.0,6.0,0.0,1.0,17.0,1,3880.0,2103.0,
232.0,,,,,-11.45,50000000.0,65820000.0,9.0,0.0,1.0,10.0,1,1189.0,316.0,
232.0,,,,,49.36,27000000.0,29000000.0,3.0,0.0,1.0,9.0,1,923.0,,
231.0,,,,,17.59,38000000.0,57870000.0,6.0,0.0,1.0,11.0,1,1522.0,,
231.0,,,,,23.28,20000000.0,36510000.0,5.0,0.0,0.0,12.0,1,1397.0,,
231.0,,,,,3.6,35000000.0,65000000.0,2.0,0.0,1.0,11.0,1,1855.0,,
231.0,,,,,-4.56,33000000.0,49800000.0,5.0,0.0,1.0,22.0,1,1636.0,316.0,
230.0,,,,,27.37,23000000.0,48270000.0,8.0,0.0,1.0,10.0,1,601.0,,
230.0,,,,,-2.14,24000000.0,31000000.0,5.0,0.0,1.0,12.0,1,1292.0,,
230.0,,,,,-3.33,40000000.0,40000000.0,0.0,0.0,1.0,21.0,1,1706.0,729.0,
230.0,,,,,20.31,40000000.0,62700000.0,8.0,0.0,1.0,20.0,1,844.0,,
230.0,,,,,5.0,24900000.0,67900000.0,5.0,0.0,0.0,20.0,1,2762.0,,
230.0,,,,,60.42,1070000.0,27790000.0,7.0,0.0,1.0,22.0,1,2613.0,316.0,
230.0,,,,,22.63,45000000.0,87000000.0,3.0,0.0,1.0,5.0,1,404.0,,
229.0,,,,,20.0,43500000.0,43500000.0,0.0,0.0,1.0,29.0,1,1367.0,,
229.0,,,,,55.03,30000000.0,43000000.0,5.0,0.0,0.0,10.0,1,384.0,,
228.0,,,,,-0.44,45000000.0,98000000.0,11.0,0.0,1.0,11.0,1,1530.0,316.0,
227.0,,,,,5.56,65000000.0,73200000.0,3.0,0.0,1.0,17.0,1,2504.0,,
227.0,,,,,11.11,,37700000.0,5.0,0.0,1.0,16.0,1,412.0,,
227.0,,,,,54.05,6200000.0,44350000.0,7.0,0.0,1.0,6.0,1,537.0,294.0,405.0
225.0,,,,,9.66,29820000.0,29820000.0,2.0,0.0,0.0,26.0,1,1927.0,316.0,
225.0,,,,,1.79,70000000.0,82550000.0,4.0,0.0,1.0,14.0,1,1144.0,,
224.0,,,,,23.76,25000000.0,25000000.0,1.0,0.0,1.0,41.0,1,2803.0,,
224.0,,,,,195.24,60000000.0,80000000.0,2.0,0.0,1.0,4.0,1,438.0,,
224.0,,,,,30.99,25000000.0,47500000.0,4.0,0.0,1.0,7.0,1,1374.0,316.0,
223.0,,,,,4.65,26000000.0,97660000.0,8.0,0.0,1.0,15.0,1,1328.0,323.0,
223.0,,,,,15.46,26000000.0,28050000.0,4.0,0.0,1.0,8.0,1,794.0,,
223.0,,,,,28.32,53000000.0,53000000.0,1.0,0.0,1.0,14.0,1,1572.0,,
222.0,,,,,92.24,23000000.0,33950000.0,5.0,0.0,0.0,9.0,1,878.0,,
222.0,,,,,-12.65,9230000.0,65430000.0,2.0,1.0,0.0,6.0,1,1699.0,,
222.0,,,,,15.18,50000000.0,74000000.0,3.0,0.0,1.0,18.0,1,761.0,323.0,
221.0,,,,,16.93,42000000.0,42000000.0,1.0,0.0,1.0,39.0,1,2749.0,,
221.0,,,,,41.03,36000000.0,36000000.0,1.0,0.0,1.0,11.0,1,914.0,298.0,
221.0,,,,,-7.08,100000000.0,100000000.0,2.0,0.0,0.0,12.0,1,1319.0,,
220.0,,,,,25.14,27250000.0,27550000.0,5.0,0.0,1.0,12.0,1,1732.0,316.0,
349.0,,,,,23.57,9610000.0,33610000.0,4.0,0.0,0.0,9.0,1,389.0,,
343.0,,,,,-9.07,23900000.0,51880000.0,3.0,0.0,0.0,12.0,1,1788.0,,
340.0,,,,,11.92,50000000.0,54000000.0,3.0,0.0,0.0,11.0,1,2477.0,,
338.0,,,,,32.94,35000000.0,55500000.0,3.0,0.0,0.0,5.0,1,1089.0,,
336.0,,,,,21.45,25000000.0,55000000.0,4.0,0.0,0.0,8.0,1,1238.0,,
335.0,,,,,32.14,55000000.0,89850000.0,5.0,0.0,0.0,8.0,1,438.0,,
335.0,,,,,34.8,40000000.0,40000000.0,2.0,0.0,0.0,5.0,1,1088.0,,
328.0,,,,,-11.86,25000000.0,53500000.0,9.0,0.0,0.0,14.0,1,863.0,,
324.0,,,,,32.39,41500000.0,69430000.0,7.0,0.0,0.0,6.0,1,481.0,,
322.0,,,,,-18.84,,52030000.0,8.0,0.0,0.0,9.0,1,581.0,,
315.0,,,,,2.26,40000000.0,40000000.0,1.0,0.0,0.0,15.0,1,991.0,,
314.0,,,,,23.81,34000000.0,43000000.0,4.0,0.0,0.0,12.0,1,733.0,,
310.0,,,,,15.79,28000000.0,55000000.0,4.0,0.0,0.0,6.0,1,725.0,,
309.0,,,,,43.12,,31570000.0,9.0,0.0,0.0,13.0,1,1654.0,,
309.0,,,,,14.13,29450000.0,81450000.0,4.0,0.0,0.0,11.0,1,516.0,,
309.0,,,,,10.79,19530000.0,72160000.0,4.0,0.0,0.0,5.0,1,313.0,,
306.0,,,,,0.98,22000000.0,58090000.0,2.0,0.0,0.0,14.0,1,1663.0,,
302.0,,,,,7.8,20000000.0,28720000.0,6.0,0.0,0.0,5.0,1,2350.0,,
300.0,,,,,0.33,25000000.0,32800000.0,5.0,0.0,0.0,10.0,1,1166.0,,
299.0,,,,,14.45,8500000.0,32510000.0,11.0,0.0,0.0,11.0,1,745.0,,
295.0,,,,,9.56,47300000.0,54550000.0,4.0,0.0,0.0,9.0,1,1326.0,,
294.0,,,,,11.03,24000000.0,40000000.0,5.0,0.0,0.0,5.0,1,573.0,,
291.0,,,,,35.68,45000000.0,66000000.0,3.0,0.0,0.0,8.0,1,1340.0,,
289.0,,,,,-1.37,30000000.0,30000000.0,1.0,0.0,0.0,8.0,1,1388.0,,
285.0,,,,,35.55,44000000.0,98950000.0,4.0,0.0,0.0,9.0,1,530.0,,
282.0,,,,,42.0,27960000.0,51340000.0,5.0,0.0,0.0,12.0,1,327.0,,
282.0,,,,,23.11,38000000.0,55000000.0,4.0,0.0,0.0,4.0,1,716.0,,
281.0,,,,,8.98,,79680000.0,2.0,0.0,0.0,10.0,1,471.0,,
280.0,,,,,33.01,60000000.0,92970000.0,5.0,0.0,0.0,16.0,1,649.0,,
279.0,,,,,-16.12,25550000.0,29050000.0,5.0,0.0,0.0,11.0,1,1608.0,,
279.0,,,,,40.61,30000000.0,30000000.0,1.0,0.0,0.0,9.0,1,579.0,,
278.0,,,,,1.09,27000000.0,30000000.0,3.0,0.0,0.0,14.0,1,3106.0,323.0,
277.0,,,,,23.21,29000000.0,38120000.0,5.0,0.0,0.0,10.0,1,1439.0,323.0,
277.0,,,,,53.3,33000000.0,33000000.0,1.0,0.0,0.0,8.0,1,464.0,,
275.0,,,,,4.53,10000000.0,60700000.0,5.0,0.0,0.0,13.0,1,815.0,,
271.0,,,,,13.81,10000000.0,71900000.0,7.0,0.0,0.0,8.0,1,429.0,,
271.0,,,,,5.0,62000000.0,77620000.0,4.0,0.0,0.0,10.0,1,1250.0,,
264.0,,,,,106.29,26340000.0,26340000.0,1.0,0.0,0.0,7.0,1,584.0,,
263.0,,,,,6.4,69000000.0,69000000.0,1.0,0.0,0.0,48.0,1,1900.0,,
261.0,,,,,14.85,6620000.0,41139998.0,5.0,0.0,0.0,26.0,1,360.0,316.0,
258.0,,,,,71.52,28040000.0,49270000.0,7.0,0.0,0.0,9.0,1,655.0,,
258.0,,,,,-8.8,38000000.0,50000000.0,5.0,0.0,0.5,10.0,1,1194.0,,
255.0,,,,,62.18,60000000.0,83500000.0,3.0,0.0,0.0,6.0,1,683.0,,
249.0,,,,,16.67,18050000.0,33640000.0,5.0,0.0,0.0,11.0,1,563.0,,
248.0,,,,,53.99,17500000.0,34860000.0,4.0,0.0,0.0,6.0,1,1154.0,,
247.0,,,,,-3.11,24000000.0,31500000.0,4.0,0.0,0.0,10.0,1,1192.0,,
246.0,,,,,0.41,38010000.0,49950000.0,3.0,0.0,0.0,9.0,1,1327.0,,
246.0,,,,,99.19,27000000.0,40000000.0,5.0,0.0,0.0,8.0,1,593.0,316.0,
245.0,,,,,30.32,58890000.0,58890000.0,1.0,0.0,0.0,14.0,1,1329.0,,
243.0,,,,,65.99,40000000.0,64620000.0,4.0,0.0,0.0,6.0,1,599.0,,
243.0,,,,,64.0,25000000.0,25000000.0,1.0,0.0,0.5,25.0,1,641.0,,
242.0,,,,,40.46,,44480000.0,3.0,0.0,0.0,14.0,1,682.0,,
241.0,,,,,104.2,50000000.0,72350000.0,3.0,0.0,0.0,9.0,1,719.0,316.0,
239.0,,,,,6.14,15000000.0,39500000.0,5.0,0.0,0.0,14.0,1,1347.0,,
238.0,,,,,36.99,10830000.0,27140000.0,3.0,0.0,0.0,10.0,1,1110.0,,
237.0,,,,,,20000000.0,54000000.0,4.0,0.0,0.0,22.0,1,297.0,294.0,976.0
235.0,,,,,43.56,35000000.0,47000000.0,5.0,0.0,0.0,6.0,1,1104.0,,
234.0,,,,,-28.83,,25220000.0,7.0,0.0,0.0,10.0,1,907.0,,
234.0,,,,,-18.69,10000000.0,74070000.0,6.0,0.0,0.0,11.0,1,978.0,,
229.0,,,,,37.72,56970000.0,70980000.0,5.0,0.0,0.0,10.0,1,1692.0,,
229.0,,,,,-18.57,35000000.0,35000000.0,1.0,0.0,0.0,12.0,1,1004.0,,
228.0,,,,,-1.72,61000000.0,81000000.0,2.0,0.0,0.0,8.0,1,955.0,,
227.0,,,,,90.08,49790000.0,58680000.0,5.0,0.0,0.0,15.0,1,957.0,323.0,
226.0,,,,,-11.37,,39969999.0,16.0,0.0,0.0,12.0,1,1195.0,,
225.0,,,,,0.44,35540000.0,69430000.0,6.0,0.0,0.5,11.0,1,1131.0,316.0,
225.0,,,,,-1.75,14000000.0,44050000.0,10.0,0.0,0.0,15.0,1,877.0,,
224.0,,,,,12.69,38330000.0,38330000.0,1.0,0.0,0.0,18.0,1,1403.0,,
224.0,,,,,62.59,20000000.0,30720000.0,3.0,0.0,0.0,20.0,1,1099.0,294.0,340.0
223.0,,,,,2.76,26000000.0,26000000.0,2.0,0.0,0.0,17.0,1,1271.0,,
222.0,,,,,,,25000000.0,3.0,0.0,0.0,8.0,1,301.0,,
221.0,,,,,35.76,70000000.0,81090000.0,3.0,0.0,0.0,6.0,1,1081.0,294.0,1104.0
221.0,,,,,41.03,,78320000.0,14.0,0.0,0.0,11.0,1,402.0,,
221.0,,,,,-5.6,,56310000.0,6.0,0.0,0.5,13.0,1,1202.0,,
