Employee Estimate,Employees on Professional Networks,Employee Growth (Monthly),Employee Growth (Quarterly),Employee Growth (6 months),Employee Growth (Annual),Last Funding Amount,Total Funding Amount,Total Funding Rounds,Rank,is_us,company_age,is_tech_enabled,Days Since Last Funding Date,Days Since Last Touch Date,Days Since Last Pipeline Decline Date
39.0,40.0,5.26,5.26,8.11,-4.76,15000000.0,15000000.0,2.0,6.0,1.0,4.0,1,914.0,297.0,439.0
50.0,35.0,-5.41,0.0,6.06,20.69,9110000.0,9110000.0,1.0,9.0,0.0,20.0,1,1159.0,,
30.0,31.0,-8.82,-6.06,-6.06,6.9,9300000.0,9300000.0,1.0,8.0,1.0,8.0,1,745.0,294.0,915.0
4.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,1.0,6.0,1,,,
118.0,115.0,0.88,3.6,5.5,4.55,,,0.0,5.0,1.0,13.0,0,,,
113.0,114.0,2.7,14.0,21.28,80.95,20110000.0,23200000.0,2.0,7.0,1.0,10.0,1,352.0,294.0,490.0
50.0,51.0,-5.56,-1.92,-1.92,2.0,,250000.0,1.0,6.0,1.0,14.0,1,2454.0,316.0,
54.0,54.0,1.89,-3.57,0.0,3.85,,,,7.0,1.0,9.0,1,,323.0,
26.0,24.0,-4.0,-14.29,-27.27,-7.69,,,0.0,6.0,1.0,7.0,0,,,
11.0,12.0,-7.69,9.09,20.0,20.0,,,0.0,3.0,1.0,8.0,1,,,
144.0,143.0,-2.05,0.7,-0.69,-1.38,33000000.0,54500000.0,6.0,7.0,1.0,7.0,1,886.0,316.0,
15.0,15.0,0.0,7.14,0.0,15.38,,620000.0,4.0,0.0,1.0,8.0,1,951.0,,
80.0,81.0,-1.22,3.85,9.46,20.9,12000000.0,27000000.0,4.0,5.0,1.0,5.0,1,578.0,294.0,752.0
55.0,56.0,0.0,-1.75,5.66,9.8,15000000.0,20000000.0,3.0,8.0,0.0,7.0,1,1160.0,294.0,340.0
46.0,94.0,0.0,6.82,9.3,16.05,13000000.0,15650000.0,4.0,6.0,1.0,6.0,1,1012.0,294.0,437.0
27.0,28.0,-3.45,12.0,16.67,21.74,1690000.0,6740000.0,4.0,7.0,1.0,5.0,1,551.0,294.0,1217.0
7.0,8.0,14.29,14.29,14.29,60.0,,,1.0,0.0,1.0,5.0,1,809.0,323.0,
83.0,83.0,0.0,2.47,-3.49,-4.6,15000000.0,15000000.0,1.0,5.0,1.0,24.0,1,2658.0,,
57.0,58.0,0.0,0.0,0.0,-7.94,12000000.0,13360000.0,3.0,6.0,1.0,11.0,1,1889.0,323.0,
